category,quote,quote_speaker
اراده و پشتکار, مرد با اراده مردي است كه شخصيت انفرادي خود را در اجتماع گم نمي كند و شجاعت آن را دارد كه باورهاي خاص خود را آشكار نمايد.,اسكار وايلد
اراده و پشتکار, من ديده ام كه درجه سعادت اشخاص بستگي به اراده و ميل خود آنها دارد.,آبراهام لینکل
اراده و پشتکار," آب قطره قطره مي چكد و با پايداري و سماجت، سنگ بزرگ را سوراخ مي كند؛ موش با پشتكار و استقامت موفق به پاره كردن رشته محكمي از سيم مي شود و ضربه هاي پي در پي تبري كوچك، درخت كهن را از پاي در مي آورد.",بنجامين فرانكلين
اراده و پشتکار," مردي كه داراي عزمي نيرومند و اخلاقي متين است، هرگز فضيلت اخلاقي خود را فداي هوس هاي زندگي نمي كند. آري مرداني در اين جهان زندگي كرده اند كه براي تكميل و حفظ فضايل اخلاقي، جسم و جان خود را فدا ساخته اند.",كنفسيوس
اراده و پشتکار," از ويژگيهاي زمان ما اين است كه متأسفانه فقط افراد پست و پليد، داراي اراده و پشتكار هستند.",آلفرد کابو
اراده و پشتکار," بزرگترين تفاوت انسان و حيوان، فهم و انديشه نيست، بلكه اراده و اختيار او است.",روسو
اراده و پشتکار," اعتقاد يعني يقين دروني، ايمان يعني عمل بيروني. اگر عزم و اراده خود را به زبان بياوريد علاوه بر تشويق شدن، احساس مسئوليت خواهيد كرد.",جان ماكسول
اراده و پشتکار," هرجا انسان عمل كرده است، انسان خواسته است؛ تنها از طريق موجوداتي كه اراده دارند مي توان عمل كرد.",نيچه
اراده و پشتکار," اراده ناآزاد، همان اسطوره است. زيرا در زندگي حقيقي، تنها اراده هاي قوي و ضعيف وجود دارد.",نيچه
اراده و پشتکار," هفت بار كه افتادي، براي هشتمين بار برخيز.",مثل ژاپني
اراده و پشتکار," داشتن پشتكار، تفاوت ظريف بين شكست و كاميابي است.",سارنف
اراده و پشتکار," كسي كه داراي عزمي راسخ است، جهان را مطابق ميل خويش عوض مي كند.",گوته
اراده و پشتکار, انسان هميشه براي چيزهايي كه آرزو مي كند قدرت كافي دارد؛ فقط سستي اراده است كه نمي گذارد او در راه رسيدن به آرزوي خود گام بردارد.,ژان ژاك روسو
اراده و پشتکار, استعداد بزرگ بدون اراده بزرگ وجود ندارد.,ونوره دو بالزاك
اراده و پشتکار," آن عملي كه اراده حيات به واسطه ي آن خود را اثبات مي كند و انسان به هستي مي آيد، عملي است كه همه در ژرفناي وجودشان از آن شرم دارند و به دقت بر آن سرپوش مي گذارند.",شوپنهاور
اراده و پشتکار," در جهان واقعي، پس از اراده حيات، اين عشق است كه خود را به عنوان قويترين و فعال ترين همه ي محركها به نمايش مي گذارد.",شوپنهاور
اراده و پشتکار, سست اراده كسي است كه با هر شكستي بينش او نيز تغيير مي يابد.,دگارآلن پو
اراده و پشتکار," اراده هاي ضعيف به صورت حرف و گفتار خودنمايي مي كنند، در حالي كه اراده هاي قوي جز در لباس عمل و كردار پديدار نمي شوند.",گوستاو لوبون
اراده و پشتکار," اراده انساني، در كنار سرنوشت او ايستاده و چرخ تكامل او را اداره مي كند.",فیثاغورث
اراده و پشتکار, وجود ما به منزله باغي است كه اراده ي ما باغبان آن است.,ويليام شكسپير
اراده و پشتکار," افراد سست اراده هميشه منتظر معجزه ها و رويدادهاي شگفت انگيزند، اما افراد قوي، خود، آفريننده ي معجزه ها و رويدادهاي شگفت انگيز هستند.",ژان ژاك روسو
اراده و پشتکار, دشواري ها نمي توانند مرا شكست دهند. هر مشكلي در برابر اراده ي بي چون و چراي من تسليم مي شود.,ئوناردو داوينچي
اراده و پشتکار, یك اراده قوي بر همه چيز حتي بر زمان غلبه مي كند.,شاتوبریان
اراده و پشتکار," نتيجه اراده ضعيف، حرف است و نتيجه اراده قوي، عمل.",گوستاولوبون
اراده و پشتکار, خواسته هاي خود را در ميان دو ديوار محكم اراده و عقل زنداني كنيد.,ارسطو
اراده و پشتکار," ارزش چه چيزي بيشتر از طلاست؟ الماس، چه چيزي از الماس گرانبهاتر است؟ اراده.",بنجامين فرانكلين
اراده و پشتکار, زندگي همچون رودخانه است؛ هميشه جريان دارد و اگر مسير خود را آگاهانه و با اراده معين نكنيد دستخوش امواج آن خواهيد شد.,آنتوني رابينز
اراده و پشتکار, دنيا به حرف كسي گوش مي دهد كه داراي اراده اي قوي است و مي داند كه به كدامين سو مي رود.,گاليله
اراده و پشتکار," اگر سخنان تو را اراده و عمل دنبال نكند، پس از كجا مي توان ارج و بهاي تو را شناخت؟ دوست عزيزم هميشه اين گونه بوده و باز هم اين گونه خواهد ماند. ناتواني براي خود قانوني دارد، اما اراده جز كاميابي قانوني نمي شناسد.",فريدريش شيلر
اراده و پشتکار," من دريافته ام كه انساني هر اندازه مصمم به خوشبخت زيستن باشد، به همان اندازه خوشبخت و سعادتمند زندگي خواهد كرد.",آبراهام لينكلن
استعداد, اگر كسي استعداد طبيعي داشته باشد باز هم بايد براي موفقيت تمرين كند و آماده شود.,جان ماکسول
استعداد," قدرت شگفت انگيز نيروهاي خلاق و استعدادهاي نهفته آدمي هنگامي آشكار مي شود كه نيازي حياتي، تواناييهاي او را به فعاليت وادارد و كشش آرزويي، سراپاي وجودش را به جنب و جوش درآورد.",آبراهام لينكلن
استعداد," هوش و استعداد خود را پرورش بده، اما نه از راه مطالعه صرف، بلكه با تفكر توام با عمل. تمايل بيشتر دانشمندان به مطالعه شبيه تلمبه است؛ خالي بودن مغزهاي خودشان موجب مي شود كه افكار مردم ديگر را به سوي خود بكشند؛ هركس زياد مطالعه كند به تدريج قدرت تفكر خود  را از دست مي دهد.",شوپنهاور
استعداد," نظم و ترتيب، آتش پالايشگري است كه استعداد را به قابليت تبديل مي كند.",ری اسمیت
استعداد," بايد دانست كه تعهد و استعداد با هم ارتباطي ندارند، مگر اينكه شما آنها را به هم ربط دهيد.",جان ماکسول
استعداد, هر انسان عادي تنها از يك دهم استعدادها و قدرت فكري خود استفاده مي كند.,ویلیام جیمز
استعداد, نگرش انسان با استعداد و ظرفيت او رابطه مستقيم دارد.,جان ماکسول
استعداد," تحمل انسان داراي نبوغ ناممكن است، مگر آنكه در وجودش دست كم دو ويژگي وجود داشته باشد : سپاسگذاري و پاكي.",نیچه
استعداد," به هر قهرمان ورزش حرفه اي كه بنگريد، استعداد فراوان مي بينيد. اما آنچه بهترين ها را به بالاترين سطح مي رساند، فكر و ذهن است.",جان ماکسول
استعداد," آنچه كسي را برنده مي كند، توانايي ذاتي، استعداد و يا ضريب هوشي او نيست. ابزار برنده، نگرش شماست نه استعدادتان؛ نگرش معيار كاميابي است.",دنيس ويتلي
استعداد, استعدادهاي خود را پنهان نكنيد. استعداد براي اين خلق شده است كه به كار گرفته شود. گذاشتن ساعت آفتابي در سايه چه فايده اي دارد؟.,بنجامين فرانكلين
استعداد," اگر استعداد داريد، اما تلاش و تحرك شما به جايي نمي رسد، احتمالا بر خود مسلط نيستيد.",جان ماکسول
استعداد, تفاوت انسانها در داشتن و نداشتن استعدادها نيست بلكه در چگونگي استفاده از آن است.,استيوي واندر
استعداد," دانايان سكوت مي كنند،با استعدادها گفتگو مي كنند و ابلهان اهل مجادله اند.",ضرب المثل چینی
استعداد," در زنان هوش و در مردان استعداد بيشتر است. آنچه را زن با چشم دقت و بررسي مي بيند، مرد با ديده عقل و انديشه مي نگرد.",ژان ژاك روسو
استعداد, استعداد بشر همواره با محدوديت روبه رو است و هيچ كس بدون داشتن برخي ضعفها نمي تواند نابغه گردد؛ اين ضعفها حتي مي تواند محدوديت هاي ذهني باشد.,شوپنهاور
استعداد," لياقت و استعداد شخصي، وابسته به هدف عالي هر شخصي بوده و موفقيت، نتيجه مستقيم سعي و كوشش است.",كنفوسيوس
استعداد, استعداد بزرگ بدون اراده بزرگ وجود ندارد.,اونوره دو بالزاك
استعداد," تمام سرمايه هاي خود را يك جا جمع كنيد، همه استعدادهاي خود را گرد آوريد، تمام نيروهاي خود را آرايش دهيد و همه توانايي هاي خود را براي تسلط روي حداقل يك زمينه كاري متمركز كنيد.",جان هاگاي
استعداد," بهترين راه دشمن تراشي، داشتن و به كار انداختن استعداد و لياقت است.",لاروشفوكو
استعداد," دانشگاه، تمام استعدادهاي افراد از جمله بي استعدادي آنها را آشكار مي كند.",آنتوان چخوف
استعداد," در جامعه اي كه كارها برحسب استعداد تقسيم نشود، در حقيقت همه بيكارند.",فرانسوا ولتر
استعداد," هر كس با استعدادهايي آفريده شده كه بايد آنها را به كار بندد. به كار بستن آنها، بزرگترين سعادت در زندگي هر فرد است.",گوته
استعداد, استعداد هاي نهفته درون خود را كشف و شكوفا كنيد.,آنتوني رابينز
استعداد," بدبختي، مربي استعداد است.",ويكتور هوگو
استعداد," برنامه ريزي، يعني تشخيص اين مطلب كه بزرگترين استعدادها و آرزوها بايد مسير درست خود را پيدا كنند.",آنتونی رابینز
استعداد," براي آگاهي از استعدادها و محدوديت هايتان، هيچ كس مناسب تر از خودتان نيست.",پائولو كوئيلو
استعداد," فرزانگان سخن نمي گويند، بلكه با استعدادان سخن مي گويند و تهي مغزان بگومگو مي كنند.",كونگ تين گان
استعداد," استعداد، آدمي را مي پوشاند و وقتي استعدادش رو به كاستي نهاد، آنچه هست نمايان مي شود.",نیچه
استعداد," كساني كه از حيث استعداد و طبيعت، مافوق ديگران هستند، غالبأ به خطا و گناه نزديكترند،زيرا هيچ دليلي ندارد كه استعداد، اشخاص را مافوق يكديگر قرار دهد.",فرانسوا ولتر
استعداد, استعداد در فضاي آرام رشد مي كند و شخصيت در جريان كامل زندگي.,گوته
اشتباه," اگر براي كامياب شدن، چيزي وجود دارد كه بايد آن را ياد بگيريم، گمان اينكه با اشتباه، آن را ياد بگيريم، بيشتر از اين است كه با دوري از اشتباه، آن را ياد بگيريم.",بلر وارن
اشتباه," اشتباهات، دروازه ي ورود به جهان اكتشافات هستند.",جيمز جويس
اشتباه," اشتباهات، به روشني، آنچه را كه براي بهتر كردن خود و درست كردن شرايط، لازم است، به ما نشان مي دهند.",پيتر مك ويليام
اشتباه, بين زندگي انسان و حيوانات هيچ تفاوتي وجود ندارد جز در شكل و شيوه اي كه اشتباه مي كند يا خودش را باز نمي شناسد.,فرناندو پسوا
اشتباه, تا زماني كه انسان گمان مي كند وجودش مي تواند براي جلوگيري از خطا و اشتباه مفيد باشد بايد در پست خود باقي بماند.,آندره موروا
اشتباه, مردم غالباً اشتباهات ما را بسيار آسانتر از خود ما مي بينند.,اسپنسر جانسون
اشتباه, هر اشتباهي را علتي است.,مثل آفريقائي
اشتباه, خطاهاي كودكان به گردن والدين است.,مثل آفريقائي
اشتباه," تمام اشتباههاي ما درباره مرگ ناشي از اين است كه فكر مي كنيم درد و رنجي كه ما قبل از مردن مي كشيم مربوط به مرگ است. در صورتي كه چنين نيست و تمام درد و رنجها مربوط به زندگي است. زندگي موجب درد و رنج مي شود و مرگ، پايان دردهاست.",موريس مترلينگ
اشتباه," وقتي همه با من هم عقيده مي شوند، تازه احساس مي کنم که اشتباه کرده ام.",اسکار وايلد
اشتباه," سعادتمند كسي است كه از هر اشتباه و خطايي كه از او سر مي زند، تجربه اي جديد به دست آورد.",سقراط
اشتباه," پوزش خواستن پس از اشتباه زيباست، حتي اگر از يك كودك باشد.",اُرد بزرگ
اشتباه," حقيقت را دوست بدار، ولي اشتباه را عفو كن.",فرانسوا ولتر
اشتباه," بهتر است دوباره سوال كني، تا اينكه يك راه اشتباه بروي.",مثل آلماني
اشتباه, مردم اشتباهات زندگي خود را روي هم مي ريزند و از آنها غولي به وجود مي آورند كه نامش تقدير است.,جان اوليورهاينر
اشتباه," اگر مي خواهيد شما را دوست بدارند، اشتباهات خود را بيش از نيكي هاي خود بگوييد.",بارون ليتون
اشتباه," خشم، گرفتن انتقام اشتباه ديگران از خودمان است.",الکساندر پوپ
اشتباه, بزرگترين اشتباه زندگي هر كس اين خواهد بود كه از اشتباه بترسد.,آلبرت هوبارد
اشتباه," كسي كه اشتباه نكند، پيشرفت هم نمي كند.",تدي روزولت
اشتباه," مهم نيست كه هدفهاي انسان در حوزه هنر، كسب و كار، مذهب، ورزش يا ارتباط با مردم قرار دارند. تنها راه پيشرفت اين است كه خطاها در مراحل اوليه باشند، انسان خطا را بپذيرد و در اثر خطا كردن، پس نزند و پيش برود.",جان ماكسول
اشتباه," كسي كه خطا نمي كند و ناكام نمي شود، چه بسا هرگز حركت نمي كند و به جلو نمي رود.",جان ماكسول
اشتباه, دو اشتباه بسيار بزرگ وجود دارد: يكي اينكه قبل از موعد اقدام به عمل كنيم و ديگري اينكه فرصت مناسب را از دست بدهيم.,پائولو كوئيلو
اشتباه, خطايي عظيم تر از اين ممكن نيست كه تصور رود آنچه اخيراً نوشته شده همواره كاملتر است؛ كه آنچه جديداً نوشته شده پيشرفتي است بر آنچه پيش تر نوشته شده؛ كه هر تغييري به معناي پيشرفت است.,شوپنهاور
اشتباه," من هفتصد بار اشتباه نكردم، من يك بار اشتباه نكردم. من زماني موفق شدم كه هفتصد راهي را كه موفقيت آميز نبود اصلاح كردم. هر گاه راهي را كه عمل نمي كرد حذف كردم راهي را پيدا كردم كه كار مي كرد.",توماس ادیسون
اشتباه, از اشتباهات خود شرمنده نشويد و آن را جرم ندانيد.,کنفسیوس
اشتباه," جواني اشتباه است، كهولت، مبارزه و پيري پشيماني.",ديزرائيلي
اشتباه," خطا اگر ندانسته انجام شود اشتباه است و اگر دانسته، تبهكاري است.",برتولت برشت
اشتباه," هرگز مرتكب اين اشتباه نمي شوم كه با كساني كه براي نظرشان احترامي قايل نيستم، بحث كنم.",ادوارد گيبون
اشتباه," بزرگترين اشتباهي كه كسي مرتكب مي شود، ترسيدن هميشگي از اشتباه كردن است.",هوپارد
اشتباه," زندگي، ميدان ادامه ي راه اشتباه نيست؛ هر گاه پي به ناراستي راه خود برديم بايد به ريشه و بن پاكي خويش باز گرديم، نه آنكه با اشتباهي ديگر آن را ادامه دهيم كه برآيند آن، از دست دادن همه عمر است.",ارد بزرگ
اشتباه," اشتباه را درست نكردن، خود اشتباه ديگري است.",كنفوسيوس
اشتباه," آزمايش و خطا بسيار خوب است، تنها يك عيب دارد: مقدار زيادي از سرمايه اي كه همه ي ما كم داريم، يعني زمان، در اين راه صرف مي شود.",آنتوني رابينز
اشتباه," اگر فكر مي كنيد آموزگارتان سخت گير است، بسيار در اشتباه هستيد. پس از استخدام شدن متوجه خواهيد شد كه رئيس شما خيلي سخت گيرتر از آموزگارتان است؛ چون امنيت شغلي آموزگارتان را ندارد.",بیل گیتس
اشتباه, ما اشتباهات جديدي را مرتكب نمي شويم؛ تنها اشتباهات گذشته را تكرار مي كنيم.,بیل باب هاس
اشتباه," مردي كه اشتباه نكند، ارزش كارهاي بزرگ را نخواهد داشت.",ادوارد فيليپس
اشتباه," اشتباه نيز جزيي از زندگي است، پس وقت خودت را تلف نكن و خودت را براي اشتباههاي گذشته سرزنش نكن.",برادلي
اشتباه," كسي كه هميشه مي خواهد اشتباه ديگران را ثابت كند، آنها را از خود دور مي سازد.",ناپلئون هیل
اعتماد بنفس, تمام چيزي كه در اين زندگي لازم داريد بي خبري و اعتماد به نفس است و موفقيت حتمي است.,مارك تواين
اعتماد بنفس," آنچه فرد تحصيلكرده را از فرد خودآموخته مشخص مي سازد، وسعت دانش نيست، بلكه مراتب گوناگون نيروي حيات و اعتماد به نفس است.",ميلان كوندرا
اعتماد بنفس," نشاط و خوشدلي، اعتماد به نفس شما را تقويت و زندگي را دلپذيرتر مي سازد و باعث مي شود كه اطرافيان شما شادي بيشتري را احساس كنند. خوشدلي به معني خوش خيالي و فرار از مشكلات نيست، بلكه نشانه ي هوش و ذكاوت شما است.",آنتوني رابينز
اعتماد بنفس," اعتماد به نفس ضرورتاً تضمين كننده ي موفقيت نيست، اما عدم اعتماد به نفس به يقين باعث شكست مي شود.",آلبرت بندورا
اعتماد بنفس, بهترين دستور زندگي اين است كه اعتماد به نفس داشته باشيد.,ميكل آنژ
اعتماد بنفس, شما بدون تسلط بر خود نمي توانيد فاتح ديگران باشيد.,كيم وو چونگ
اعتماد بنفس, ايستادگي در برابر سختي ها در شما اعتماد به نفس ايجاد مي كند و توانايي شما را نيز افزايش مي دهد.,برايان تريسي
اعتماد بنفس," در هر زمينه اي هر چه بيشتر ياد بگيريد و دانش خود را بالا ببريد، اعتماد به نفس تان نيز بيشتر مي شود.",برايان تريسي
اعتماد بنفس," راحت طلبي، دشمن شماره يك شهامت و اعتماد به نفس است.",برايان تريسي
اعتماد بنفس," هر چقدر كارتان را بهتر انجام دهيد، خودتان را بيشتر دوست خواهيد داشت و اعتماد به نفس تان نيز بيشتر خواهد شد.",برايان تريسي
اعتماد بنفس, تمام وعده ها و نويدهاي دنيا فريبي بيش نيست و بهترين دستور زندگي اين است كه اعتماد به نفس داشته باشي و در پرتو سعي و تلاش خود به مقامي برسي.,ميكل آنژ
اعتماد بنفس," خودباوري در دو دقيقه ي پاياني بازي، از روزها، هفته ها، ماهها و حتي سالها كار سخت سرچشمه مي گيرد.",راجر استاباك
اعتماد بنفس, گاهي هيچ چيز سودمندتر از عزت نفسي نيست كه بر پايه ي برابري و درستي استوار شده باشد.,جان ملتون
اعتماد بنفس," كساني كه پيوسته ناآرام اند، عزت نفس شان كم است و خودشان را دست كم مي گيرند.",ريچارد گرهم
اعتماد بنفس," هنگامي كه با خودباوري كم، كارتان را آغاز كنيد، امكان اينكه چيزهاي تازه اي را بيازماييد، كمتر است.",گريس ولد
اعتماد بنفس," خودباوري انسان، برآمده از اين است كه خود را بر شرايط زمانه چيره ببيند، نه اينكه شرايط بر او چيره باشد.",آنتوني رابينز
اعتماد بنفس," اگر قدرت انگاره ي خود را از قيد و بند رها كنيم، خودباوري و بينشي در ما ايجاد مي شود كه محدوديت هاي گذشته مان را در هم مي شكند.",آنتوني رابينز
اعتماد بنفس," خودباوري، برآمده از عزت نفس و آگاهي است.",پاول فريزر
اعتماد بنفس," به خويشتن اعتماد كن، آنگاه راه زندگي را خواهي يافت.",گوته
اعتماد بنفس," زيانبارترين احساس پس از شكست، از دست دادن اعتماد به نفس و مشكوك شدن به توانايي و صلاحيت خويش است.",جان ماكسول
اعتماد بنفس," آن كس كه خويشتن را تحقير مي كند، در مقام تحقيرگر به خويشتن احترام مي گذارد.",نيچه
اعتماد بنفس, زندگي براي هيچ كس آسان نيست. اما كه چه؟ بايد پشتكار و از همه مهمتر اعتماد به نفس داشته باشيم. بايد باور كنيم كه هر يك براي انجام كاري استعداد داريم و آن كار بايد انجام شود.,ماري كوري
اعتماد بنفس," هر بار كه در برابر ترس مي ايستيد، قدرت، شهامت و اعتماد به نفس پيدا مي كنيد. بايد كاري را انجام دهيد كه فكر مي كنيد نمي توان انجام داد.",النور روزولت
اعتماد بنفس," نخستين و بالاترين پيروزي، تسلط بر خويش است.",افلاطون
اعتماد بنفس," اگر خود به خويشتن اعتماد نداريد، ديگران هم به شما اعتماد نخواهند كرد.",جان ماكسول
اعتماد بنفس," اصل شجاعت، اتكا به نفس است.",شارل دوگل
اعتماد بنفس," آدم خودباور هيچ گاه براي رسيدن به ماديات، ارزشهاي انساني را زير پا نمي گذارد.",اُرد بزرگ
اعتماد, چه نيكو است كه آدمي مورد اعتماد باشد.,جان اشتاين بك
اعتماد, به هيچ شوهري و هيچ زني و هيچ ياري اعتماد نيست كه اعترافات آدمي را بشنود.,والت ويتمن
اعتماد," كسي كه خود را بزرگ مي پندارد، اعتماد چنداني ندارد كه همنوعانش او را بزرگ شمارند. او مي ترسد نظري كه درباره ي خود دارد با نظرهايي تركيب شود كه همنوعان اش نسبت به او دارند.",فرناندو پسوا
اعتماد," هر كس اطمينان به دست آورد كه همنوعان اش او را ارزشمند مي شمارند، هراسي از آنها به دل راه نمي دهد.",فرناندو پسوا
اعتماد, هيچ پيروزي اي آينده ي ما را در نظر ما مشخص نمي سازد و نمي تواند باعث اعتماد ما به آينده ي دور و درازي باشد.,آندره موروا
اعتماد, در دنيا عده ي اندك شماري يافت مي شوند كه مي توان به آنها اعتماد كرد؛ بايد گشت و اينها را يافت.,آندره موروا
اعتماد," بي اعتمادي، سنگ محكي براي يقين پيدا كردن از وجود طلاست.",نيچه
اعتماد," برنامه ريزي براي آينده، نگراني و عدم اعتماد را كاهش مي دهد.",اسپنسر جانسون
اعتماد, گرفتاري اين دنيا از اين است كه نادان از كار خود اطمينان دارد و دانا از كار خود مطمئن نيست.,برتراند راسل
اعتماد, بي نظمي در كار بدتر از بي خبري از آن است. در كار هاي زندگي بايد به خود اعتماد داشت و بس.,بنجامين فرانكلين
اعتماد," كسي كه به پشتكار خود اعتماد دارد، ارزشي براي شانس قايل نيست.",مثل ژاپني
اعتماد, مردمان را عيب نهاني آشكار مكن كه ايشان را رسوا كني و خود را بي اعتماد.,سعدي
اعتماد," به همه اعتماد داشتن خطرناك است، به هيچ كس اعتماد نداشتن خطرناكترين است.",آبراهام لينكلن
اعتماد," هر چقدر كارتان را بهتر انجام دهيد، خودتان را بيشتر دوست خواهيد داشت و اعتماد به نفس تان نيز بيشتر خواهد شد.",برايان تريسي
اعتماد," راحت طلبي، دشمن شماره يك شهامت و اعتماد به نفس است.",برايان تريسي
اعتماد," در هر زمينه اي هر چه بيشتر ياد بگيريد و دانش خود را بالا ببريد، اعتماد به نفس تان نيز بيشتر مي شود.",برايان تريسي
اعتماد, ايستادگي در برابر سختي ها در شما اعتماد به نفس ايجاد مي كند و توانايي شما را نيز افزايش مي دهد.,برايان تريسي
اعتماد," در برخي از موارد، فريب خوردن بهتر از بي اعتمادي است.",سرنگ
اعتماد, هرگز به احساساتي كه در برخورد اول با كسي پيدا مي كنيد نسنجيده اعتماد نكنيد.,آناتول فرانس
اعتماد," كودكان اعتماد مي كنند، زيرا هرگز شاهد خيانت نبوده اند. معجزه آنگاه رخ مي دهد كه اين اعتماد را در نگاه پيري فرزانه ببينيم.",بوبن
اعتماد, بهترين دستور زندگي اين است كه اعتماد به نفس داشته باشيد.,ميكل آنژ
